name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
辰巳第二保育園,35.64897213,139.8107125,0,0,0,0,
辰巳第三保育園,35.64821423,139.8113875,0,0,0,0,
潮見保育園,35.65600645,139.8147159,1,1,0,1,
豊洲保育園,35.65473418,139.7994302,1,1,0,1,
枝川幼稚園,35.65947289,139.8086492,1,0,0,0,
ひばり幼稚園,35.64219154,139.7978009,1,0,0,0,
豊洲子ども家庭支援センター,35.65367721,139.7961805,1,1,1,1,自動ドア・授乳スペース・ベビーベッド・おむつ交換台
豊洲シビックセンター,35.654267,139.795365,1,0,1,1,
有明スポーツセンター,35.63317118,139.7837914,1,1,1,1,自動ドア・授乳室・オストメイト設備・車いす貸出
環境学習情報館（えこっくる江東）,35.6551,139.811927,1,1,1,1,
江東公会堂（ティアラこうとう）,35.68844293,139.8195072,1,1,1,1,オストメイト設備・ユニバーサルシート・ソファーベッド・授乳室・自動ドア
猿江保育園,35.68541911,139.8135378,0,0,0,1,
毛利保育園,35.69075559,139.8165083,0,1,0,1,
千田保育園,35.680564,139.816532,1,0,1,1,自動ドア
つばめ幼稚園,35.68434938,139.8189814,1,0,0,1,
男女共同参画推進センター,35.68409344,139.8202173,1,1,1,1,
東陽児童館,35.671375,139.811805,1,1,1,1,
東陽福祉会館,35.67470028,139.8124253,1,0,0,1,
東陽保育園,35.66919594,139.8137204,0,0,0,0,
江東区文化センター,35.67234671,139.8184139,1,1,1,1,オストメイト設備・壁面収納式簡易ベッド・授乳室
亀戸児童館,35.69780793,139.8215986,1,1,1,1,自動ドア
亀戸保育園,35.69651037,139.8324567,0,0,0,1,
亀戸第三保育園,35.69470936,139.8243925,0,1,0,1,
亀戸第四保育園,35.70260453,139.826622,0,0,0,0,
亀戸スポーツセンター,35.70017307,139.8365322,1,1,1,1,自動ドア・授乳室・オストメイト設備・車いす貸出・おむつ替えシート(女子トイレ内)
亀戸老人福祉センター,35.69900135,139.8421548,1,0,0,1,
亀戸文化センター,35.69759604,139.8245684,1,1,1,1,自動ドア・授乳室・おむつ替えベッド・オストメイト設備・大型ベッド
総合区民センター,35.68904406,139.8269925,1,1,1,1,自動ドア・だれでもトイレ（全フロア）・オストメイト設備（2階）
